start	end	text
1457440	1460200	Die Ampelkoalition einigt sich auf den Einsatz
1460280	1461880	digitaler Gesichtserkennung.
1461960	1464400	Mit dieser Meldung startet unser Info-Update
1464480	1466280	von und mit Michael Strang.
1466320	1471160	Die Fraktionen von SPD, Grünen und FDP wollen in der kommenden Woche
1471240	1475520	die gesetzlichen Änderungen für das sogenannte Sicherheitspaket beschließen.
1475600	1479240	Die Koalition hatte sich im August auf das Sicherheitspaket geeinigt.
1479320	1483040	Demnach soll die Polizei künftig Fotos von Verdächtigen
1483120	1487280	mit allgemein öffentlich zugänglichen Internetdaten abgleichen dürfen,
1487360	1489840	um die Identifizierung von Tatverdächtigen
1489920	1492440	oder gesuchten Personen zu erleichtern.
1492440	1496360	Vernetzte Geräte sollen besser gegen Cyberangriffe geschützt werden.
1496440	1499680	Um smarte Kaffeemaschinen, Computeruhren
1499760	1502680	und intelligente Babyphones sicherer zu machen,
1502760	1506920	hat der Rat der EU-Innenministerinnen und Minister in Luxemburg
1507000	1509400	den Cyber Resilience Act beschlossen.
1509480	1514240	Die neuen Regelungen legen erstmals verbindliche Cyber-Sicherheitsanforderungen
1514320	1516360	für alle vernetzten Geräte fest.
1516440	1520720	Die Regelung verpflichtet Hersteller, Importeure und den Handel.
1520920	1525280	Sie müssen künftig sicherstellen, dass ihre Produkte den Anforderungen genügen
1525360	1528840	und mit einem entsprechenden Kennzeichen versehen sind.
1533920	1536920	Nach einem jahrelangen Rechtsstreit hat sich Meta
1537000	1539960	gegenüber dem Bundeskartellamt zu Nachbesserungen
1540040	1543320	und strengeren Regeln beim Datenschutz verpflichtet.
1543400	1546880	Der US-Konzern darf persönliche Informationen der Nutzenden
1546880	1551360	aus Diensten des Plattformbetreibers wie Facebook, WhatsApp und Instagram
1551440	1555320	nicht ohne deren Einwilligung zusammenführen und verarbeiten.
1555400	1560560	Die deutschen Kartellwächter hatten dies dem Unternehmen schon 2019 aufgetragen,
1560640	1562640	doch Meta klagte dagegen.
1568720	1573800	Das Funksystem der Lichtsignalanlagen KAR in den Niederlanden erlaubt es
1573800	1579280	unter anderem, Rettungskräften aus der Ferne die Ampeln auf ihrem Weg auf grün zu stellen.
1579360	1581760	Der Hacker Alwin Peppels hat nun entdeckt,
1581840	1585480	dass sich das System über ein selbstgebautes System steuern lässt
1585560	1589840	und diese Sicherheitslücke der niederländischen Cyber-Sicherheitsbehörde mitgeteilt,
1589920	1591840	berichtet RTL News.
1591920	1594720	Daher müssen nun landesweit die Steuerungsanlagen
1594800	1598120	von zehntausenden Ampeln ausgetauscht werden.
1604760	1610800	Bis zum Jahr 2027 sollen unter dem Dach von Connecting Europe Facility Digital
1610880	1614000	vor allem Verbindungsinfrastrukturen besser werden,
1614080	1616600	teilte die EU-Kommission diese Woche mit.
1616680	1621400	Konkret sollen damit 5G-Verbindungen in Europa auf- und ausgebaut,
1621480	1626600	Back-Bauennetze modernisiert und der Energieverbrauch reduziert werden.
1626600	1630320	Jede zweite Lehrkraft hat KI beruflich genutzt.
1656600	1659240	Die, die bereits im Unterricht verwendet haben,
1659320	1662040	nutzten 81% KI zur Wissensvermittlung.
1665000	1667520	Sternzeit, 12. Oktober.
1668480	1671560	Die Radarsonde für die Vulkane auf der Venus.
1673640	1677080	Morgen vor 30 Jahren verglühte die NASA-Sonde Magellan
1677160	1679360	in der Venus-Atmosphäre.
1679440	1682760	Magellan hatte vier Jahre lang unsere Nachbarplaneten umkreist
1682840	1686200	und wurde dann gezielt zum Absturz gebracht.
1686280	1689440	Mit einem Radarinstrument hat die Sonde durch die dicke Wolkenhülle
1689520	1693920	der Venus geblickt und nahezu die gesamte Oberfläche erfasst.
1694000	1696440	Die Venus hat fast die Ausmaße der Erde.
1696520	1698960	Die kleinsten Details, die Magellan erkennen konnte,
1699040	1701240	sind etwa 200 Meter groß.
1701320	1703280	Damit war Magellan deutlich scharfsichtiger
1703360	1708040	als zwei sowjetische Venera-Sonden zehn Jahre zuvor.
1708120	1711160	Wie sich zeigte, sind fast 90% der Venus-Oberfläche
1711240	1713120	vulkanisch geprägt.
1713200	1715800	In der Venus-Landschaft wimmelt es von Vulkankegeln,
1715880	1720360	Lavaströmen, Einschlags-Kratern und Dünenfeldern.
1720440	1723440	Auf unserem Nachbarplaneten herrscht 100-mal höherer Luftdruck
1723520	1727760	als auf der Erde und die Temperatur liegt bei fast 500 Grad Celsius.
1727840	1729600	Allerdings gibt es keinerlei Wasser.
1729680	1733160	Erosion spielt offenbar kaum eine Rolle.
1733240	1735960	Die Sonde mag seit drei Jahrzehnten Geschichte sein,
1736040	1738480	doch ihre Daten werden bis heute genutzt.
1738560	1740920	Erst vor wenigen Monaten bemerkten Fachleute
1740960	1744240	anhand der Magellan-Radarbilder, dass Anfang der 90er-Jahre
1744320	1747920	einige Vulkane auf der Venus aktiv waren.
1748000	1750360	Magellan hat die Ausbrüche nicht live erfasst,
1750440	1752680	aber Aufnahmen mit einigem zeitlichen Abstand
1752760	1754800	zeigen an einigem Kratern und Berghängen
1754880	1756520	deutliche Veränderungen.
1756600	1760520	Das lässt sich wohl nur mit hervorgequollener Lava erklären.
1760600	1763240	Die Venus zeigt sich derzeit kurz nach so einem Untergang
1763320	1764640	tief im Südwesten.
1764720	1768160	Dort strahlt ein Planet mit aktiven Vulkanen.
1769160	1772840	Das war Computer und Kommunikation für diese Woche.
1772920	1776000	Am Mikrofon begleitete sie Manfred Kleuber.
1798160	1801160	Copyright WDR 2021
